Controller Dept , Action = Index , Date = 29-12-2020 11:01:04 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:01:05 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:01:41 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:01:41 , --> After -- 
Controller Employees , Action = Index , Date = 29-12-2020 11:01:42 , --> Before -- 
Controller Employees , Action = Index , Date = 29-12-2020 11:01:42 , --> After -- 
Controller Employees , Action = Search , Date = 29-12-2020 11:02:07 , --> Before -- 
Controller Employees , Action = Search , Date = 29-12-2020 11:02:07 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:02:13 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:02:13 , --> After -- 
Controller Employees , Action = Index , Date = 29-12-2020 11:02:14 , --> Before -- 
Controller Employees , Action = Index , Date = 29-12-2020 11:02:14 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:02:15 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:02:15 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:31:14 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:31:14 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:51:17 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:51:18 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:56:13 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:56:14 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:59:56 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 11:59:58 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:01:28 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:01:29 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:03:02 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:03:03 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:05:06 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:05:07 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:07:41 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:07:41 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:09:06 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:09:07 , --> After -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:09:45 , --> Before -- 
Controller Dept , Action = Index , Date = 29-12-2020 12:09:46 , --> After -- 
